frame,time_s,L_raw,L_peak
110,3.6703370036703373,133.0,162.0
111,3.7037037037037037,128.0,162.0
112,3.7370704037370706,128.0,162.0
113,3.7704371037704374,122.0,162.0
114,3.803803803803804,122.0,162.0
115,3.8371705038371706,116.0,162.0
116,3.8705372038705375,116.0,162.0
117,3.903903903903904,116.0,162.0
118,3.9372706039372707,116.0,162.0
119,3.9706373039706375,116.0,162.0
120,4.004004004004004,116.0,162.0
121,4.037370704037371,112.0,162.0
122,4.070737404070737,112.0,162.0
123,4.104104104104104,108.0,162.0
124,4.137470804137471,108.0,162.0
125,4.170837504170838,107.0,162.0
126,4.2042042042042045,107.0,162.0
127,4.237570904237571,107.0,162.0
128,4.270937604270938,107.0,162.0
129,4.3043043043043046,103.0,162.0
130,4.337671004337671,103.0,162.0
131,4.371037704371038,100.0,162.0
132,4.404404404404405,98.0,162.0
133,4.437771104437771,99.0,162.0
134,4.471137804471138,101.0,162.0
135,4.504504504504505,101.0,162.0
136,4.537871204537871,101.0,162.0
137,4.571237904571238,101.0,162.0
138,4.604604604604605,101.0,162.0
139,4.637971304637971,101.0,162.0
140,4.671338004671338,101.0,162.0
141,4.704704704704705,101.0,162.0
142,4.738071404738071,99.0,162.0
143,4.7714381047714385,99.0,162.0
144,4.804804804804805,99.0,162.0
145,4.838171504838171,99.0,162.0
146,4.8715382048715385,99.0,162.0
147,4.904904904904905,99.0,162.0
148,4.938271604938272,99.0,162.0
149,4.971638304971639,100.0,162.0
150,5.005005005005005,100.0,162.0
151,5.038371705038372,100.0,162.0
152,5.071738405071739,100.0,162.0
153,5.105105105105105,96.0,162.0
154,5.138471805138472,92.0,162.0
155,5.171838505171839,92.0,162.0
156,5.205205205205205,92.0,162.0
157,5.238571905238572,93.0,162.0
158,5.271938605271939,93.0,162.0
159,5.305305305305305,93.0,162.0
160,5.3386720053386725,94.0,162.0
161,5.372038705372039,94.0,162.0
162,5.405405405405405,94.0,162.0
163,5.4387721054387725,98.0,162.0
164,5.472138805472139,98.0,162.0
165,5.505505505505505,96.0,162.0
166,5.538872205538873,92.0,162.0
167,5.572238905572239,96.0,162.0
168,5.605605605605605,92.0,162.0
169,5.638972305638973,96.0,162.0
